match_id, home_attack, home_deffense, away_attack, away_deffense
1, 0.0, 0.0, 0.0, 0.0
2, 0.0, 0.0, 0.0, 0.0
3, 0.0, 0.0, 0.0, 0.0
4, 0.0, 0.0, 0.0, 0.0
5, 0.0, 0.0, 0.0, 0.0
6, 0.0, 0.9772727, 1.4659091, 1.3030303
7, 0.0, 0.0, 0.0, 0.0
8, 0.0, 0.0, 0.0, 0.0
9, 0.0, 0.0, 0.0, 0.0
10, 1.2058824, 0.4712644, 1.3195403, 0.6029412
11, 1.35, 0.4764706, 1.1435295, 0.72
12, 0.9166667, 0.6875, 1.2833333, 0.85555553
13, 1.2058824, 0.7068966, 0.5655173, 0.36176473
14, 0.9044118, 2.1206899, 1.1310346, 1.0852941
15, 0.72352946, 1.3195403, 1.178161, 1.9595588
16, 1.507353, 1.178161, 1.3195403, 0.72352946
17, 0.48235297, 1.6965518, 0.4712644, 1.3566177
18, 1.0694444, 1.1458333, 0.18333334, 0.36666667
19, 2.104762, 0.7207921, 1.6217822, 0.99047625
20, 0.8666667, 0.7207921, 0.36039606, 1.2380953
21, 0.9572369, 1.1331775, 0.7554517, 0.8508772
22, 0.99310344, 1.2475247, 1.069307, 1.1172413
23, 1.4857144, 0.5405941, 1.6217822, 0.99047625
24, 0.3714286, 1.4415842, 0.36039606, 1.1142857
25, 0.77380955, 0.67574257, 0.75082505, 1.5476191
26, 1.1142857, 0.5405941, 1.0811882, 1.1142857
27, 1.0210527, 1.4504673, 0.18130842, 0.38289475
28, 1.5233535, 0.53898305, 1.3474576, 0.740519
29, 0.5063291, 0.5263158, 1.9005849, 0.94936705
30, 0.7594937, 0.877193, 1.0233918, 0.94936705
31, 1.015569, 0.53898305, 0.89830506, 0.5289421
32, 1.0126582, 1.9298246, 1.0233918, 1.0548522
33, 0.7383966, 1.3157895, 0.877193, 1.6455696
34, 1.2658228, 1.0526316, 1.0233918, 0.6329114
35, 0.5274261, 1.754386, 0.7017544, 1.2658228
36, 1.0645161, 0.4419643, 1.0607144, 1.1496774
37, 2.0236688, 1.05, 1.4999999, 0.9585799
38, 1.2781066, 0.71999997, 1.2857143, 0.7303466
39, 0.74556214, 0.59999996, 0.29999998, 1.0650887
40, 1.0224853, 1.2599999, 0.7714285, 0.91293323
41, 1.0650887, 1.05, 0.9, 1.2781066
