id,home_team_api_id,away_team_api_id,buildUpPlaySpeed_home,buildUpPlayPassing_home,chanceCreationPassing_home,chanceCreationCrossing_home,chanceCreationShooting_home,defencePressure_home,defenceAggression_home,defenceTeamWidth_home,buildUpPlaySpeed_away,buildUpPlayPassing_away,chanceCreationPassing_away,chanceCreationCrossing_away,chanceCreationShooting_away,defencePressure_away,defenceAggression_away,defenceTeamWidth_away,AVG_HOME_AGE,AVG_AWAY_AGE,Home_Team_Aggression,Home_Team_Potential,Home_Team_Stamina,Home_Team_OverallRating,Home_Team_FreeKick,Away_Team_Aggression,Away_Team_Potential,Away_Team_Stamina,Away_Team_OverallRating,Away_Team_FreeKick,labels
15055,10219,10228,47,48,66,38,55,29,28,36,47,37,48,52,42,46,44,48,27.909,23.545,64,66,68,65,74,59,73,67,67,56,2
15056,10228,8593,47,37,48,52,42,46,44,48,35,33,39,52,46,68,65,50,22.182,24.182,58,74,67,68,72,59,80,70,75,84,1
15057,10217,9803,38,47,55,55,44,50,58,52,42,44,49,40,38,47,44,55,24.182,25.0,63,71,66,67,82,60,69,68,67,82,2
15058,9791,8640,39,32,40,42,66,47,43,47,54,45,55,58,55,43,50,48,23.636,20.909,64,71,66,67,73,57,80,66,73,80,1
15059,8464,10219,46,41,52,37,57,45,48,53,47,48,66,38,55,29,28,36,23.818,27.455,63,70,66,66,64,60,65,63,64,74,1
15061,10235,9761,44,44,48,62,50,43,43,40,58,53,48,47,46,43,48,50,23.727,27.818,65,77,71,72,68,63,67,68,66,71,0
15063,9908,10229,47,52,52,54,60,45,49,47,62,40,67,48,52,50,65,59,25.0,23.364,62,72,72,69,69,60,75,74,71,71,0
15064,8277,8611,37,39,52,42,62,42,45,48,35,38,44,50,41,34,44,54,23.818,22.091,54,76,70,71,82,62,77,68,71,76,0
15065,9761,8464,58,53,48,47,46,43,48,50,46,41,52,37,57,45,48,53,28.545,23.818,62,67,68,66,71,63,70,66,66,64,1
15066,9791,10217,39,32,40,42,66,47,43,47,38,47,55,55,44,50,58,52,23.727,23.909,64,71,66,67,73,63,71,68,67,82,0
15068,8611,10228,35,38,44,50,41,34,44,54,47,37,48,52,42,46,44,48,22.091,22.818,62,77,68,71,76,61,73,67,68,72,1
15070,10229,8277,62,40,67,48,52,50,65,59,37,39,52,42,62,42,45,48,24.0,24.364,59,75,75,71,71,54,75,70,71,82,1
15071,10235,9803,44,44,48,62,50,43,43,40,42,44,49,40,38,47,44,55,25.091,24.909,65,76,70,72,71,60,69,68,66,82,0
15072,8674,8593,44,44,56,58,42,49,47,53,35,33,39,52,46,68,65,50,24.273,24.545,63,71,71,67,77,58,77,68,73,74,1
15073,6413,9908,47,49,50,50,54,46,44,51,47,52,52,54,60,45,49,47,24.636,24.273,55,69,67,66,73,61,72,71,68,69,1
15074,10217,8277,38,47,55,55,44,50,58,52,37,39,52,42,62,42,45,48,24.091,24.455,63,70,67,66,82,54,75,69,71,82,0
15075,8593,6413,35,33,39,52,46,68,65,50,47,49,50,50,54,46,44,51,23.182,25.0,57,77,68,72,74,53,68,67,66,76,0
15077,9803,9761,42,44,49,40,38,47,44,55,58,53,48,47,46,43,48,50,25.364,27.455,61,69,66,66,82,58,68,65,66,71,2
15078,8611,8640,35,38,44,50,41,34,44,54,54,45,55,58,55,43,50,48,22.182,22.273,62,77,68,71,76,56,79,68,73,80,1
15080,10228,8674,47,37,48,52,42,46,44,48,44,44,56,58,42,49,47,53,23.364,24.364,62,73,67,69,72,63,71,69,67,77,0
15081,8464,10235,46,41,52,37,57,45,48,53,44,44,48,62,50,43,43,40,23.545,24.727,61,72,66,67,66,65,77,69,73,68,1
15082,9908,10219,47,52,52,54,60,45,49,47,47,48,66,38,55,29,28,36,24.273,26.727,61,72,71,68,69,60,66,64,64,74,0
15084,10217,8464,38,47,55,55,44,50,58,52,46,41,52,37,57,45,48,53,23.909,22.364,62,71,68,67,82,60,72,64,66,66,1
