id,AVG_HOME_AGE,AVG_AWAY_AGE
510,23.182,27.273
511,,
512,25.182,
513,26.545,25.0
514,27.636,
515,25.727,25.182
516,27.182,
517,27.0,
518,25.636,26.0
519,25.364,
520,24.909,
521,24.455,22.727
522,,25.636
523,26.364,
524,23.909,28.0
525,24.636,26.182
526,22.455,24.364
527,,25.182
528,24.909,
529,24.909,26.818
530,24.909,25.273
531,25.727,23.182
532,27.818,25.545
533,25.818,25.0
534,23.545,22.818
535,25.727,28.545
536,25.0,26.545
537,,25.091
538,25.545,26.636
539,25.091,25.273
540,25.636,23.818
541,24.818,25.455
542,22.818,26.091
543,27.0,
544,25.364,27.364
545,25.727,23.818
546,25.455,27.455
547,28.636,25.0
548,25.636,25.545
549,27.818,22.727
550,27.364,25.455
551,24.636,23.182
552,26.636,
553,25.273,25.364
554,,25.727
555,25.545,
556,25.455,25.091
557,22.818,27.455
558,22.091,24.273
559,26.455,25.455
560,25.727,27.455
561,25.636,
562,29.182,
563,25.727,24.273
564,25.091,26.545
565,26.727,28.091
566,27.0,23.364
567,24.091,25.818
568,27.636,22.636
569,25.455,25.636
570,22.818,25.818
571,25.909,
572,24.273,25.364
573,26.727,25.364
574,26.364,25.364
575,27.091,23.636
576,24.636,21.636
577,23.364,24.091
578,25.273,24.818
579,28.909,23.727
580,24.455,25.818
581,24.091,
582,23.273,
583,24.091,25.818
584,24.0,26.636
585,26.273,25.545
586,24.909,23.909
587,25.0,24.818
588,24.273,27.091
589,25.273,25.273
590,27.636,24.091
591,24.909,26.091
592,25.727,24.273
593,,24.636
594,25.455,23.364
595,27.636,
596,24.818,26.273
597,24.455,25.636
598,23.182,24.818
599,25.818,
600,23.636,24.455
601,24.545,
602,25.636,25.727
603,25.273,26.909
604,25.455,23.909
605,26.455,26.909
606,,23.091
607,26.273,23.545
608,24.636,25.364
609,,24.0
610,,25.636
611,,21.818
612,22.545,25.0
613,25.727,24.0
614,26.636,26.636
615,25.818,26.091
616,23.909,24.727
617,26.545,26.818
618,25.364,22.909
619,,24.364
620,23.909,25.818
621,24.364,
622,27.0,24.727
623,23.182,26.182
624,,26.909
625,,26.455
626,23.818,24.727
627,23.818,27.182
628,26.545,22.636
629,25.182,
630,23.909,26.091
631,26.909,23.182
632,26.182,26.818
633,24.727,25.818
634,26.364,23.636
635,25.545,24.545
636,,24.0
637,24.545,23.909
638,26.182,25.091
639,23.727,25.182
640,25.0,24.545
641,25.0,25.364
642,24.0,25.818
643,25.091,24.727
644,26.545,29.364
645,25.273,25.273
646,23.273,24.0
647,26.818,26.636
648,24.455,23.182
649,25.545,23.909
650,24.636,25.818
651,,24.636
652,29.182,25.727
653,24.0,26.818
654,24.909,28.455
655,23.182,25.0
656,26.273,26.545
657,26.091,24.727
658,25.818,23.636
659,24.909,24.364
660,26.818,26.0
661,25.545,25.091
662,24.727,26.818
663,23.636,23.727
664,26.727,25.273
665,26.727,25.545
666,25.273,26.364
667,,24.818
668,29.182,25.455
669,25.455,25.636
670,26.545,24.818
671,23.636,26.273
672,27.273,24.818
673,25.909,27.091
674,25.545,26.727
675,24.818,26.273
676,26.636,24.182
677,23.909,23.273
678,23.909,24.909
679,27.727,25.545
680,25.727,25.455
681,25.727,25.909
682,25.273,26.636
683,29.273,25.727
684,25.727,26.545
685,25.818,25.636
686,25.455,
687,23.364,25.636
688,26.727,25.091
689,24.909,27.818
690,,23.818
691,25.727,28.364
692,25.455,23.364
693,23.364,26.818
694,21.273,25.636
695,27.091,22.909
696,23.909,
697,26.091,
698,25.364,
699,25.0,25.818
700,25.545,26.455
701,23.182,26.727
702,23.455,24.636
703,,25.727
704,26.182,25.818
705,25.818,25.455
706,27.455,24.636
707,25.364,25.818
708,25.818,23.273
709,26.273,25.364
710,24.727,24.818
711,27.364,20.727
712,25.727,25.545
713,24.091,
714,25.455,25.091
715,,26.0
716,23.182,23.545
717,25.0,26.273
718,,25.909
719,26.182,25.455
720,22.909,
721,24.091,23.727
722,25.364,26.273
723,24.818,26.364
724,26.818,24.909
725,26.364,23.364
726,22.364,26.909
727,25.455,24.636
728,27.0,25.0
729,25.636,23.273
730,24.636,25.182
731,25.818,25.0
732,,25.727
733,24.455,25.455
734,25.818,25.545
735,23.091,26.0
736,,26.545
737,25.0,22.909
738,23.0,26.727
739,25.909,
740,26.818,27.091
741,26.455,24.273
742,22.364,
743,27.091,22.545
744,25.273,27.455
745,24.909,25.273
746,25.818,25.091
747,24.727,24.364
748,27.455,23.818
749,24.364,24.727
750,25.545,26.455
751,22.545,24.909
752,26.818,26.818
753,,26.909
754,24.727,24.545
755,25.091,22.0
756,24.273,25.182
757,26.545,23.545
758,27.091,24.455
759,24.364,26.818
760,,26.636
761,26.273,
762,24.909,28.182
763,26.727,26.545
764,23.909,26.636
765,24.727,27.091
766,26.364,24.909
767,25.818,26.909
768,25.0,26.182
769,24.364,25.727
770,26.727,
771,26.455,25.545
772,27.273,25.545
773,24.727,
774,24.364,27.182
775,26.273,26.545
776,28.091,25.455
777,24.182,23.273
778,26.182,25.818
779,25.182,25.636
780,25.636,
781,22.455,24.636
782,25.455,26.0
783,26.0,25.0
784,25.364,25.182
785,24.909,26.455
786,25.455,24.636
787,25.636,25.545
788,27.273,27.455
789,24.364,25.273
790,23.636,24.364
791,27.273,25.636
792,26.909,26.818
793,25.0,25.818
794,27.0,24.455
795,26.091,27.818
796,25.273,26.0
797,25.455,25.364
798,25.455,25.818
799,25.364,
800,25.0,24.182
801,27.182,
802,24.727,26.818
803,25.636,
804,27.182,27.0
805,24.273,25.455
806,24.909,25.182
807,27.273,24.545
808,27.0,24.818
809,25.636,25.455
810,27.364,24.727
811,,27.364
812,25.273,26.455
813,26.0,24.727
814,24.273,26.455
815,27.0,25.455
816,25.818,26.545
817,24.182,25.727
818,27.545,25.364
819,,24.818
820,25.273,24.727
821,25.455,25.545
822,25.455,26.455
823,,24.182
824,26.273,23.909
825,24.545,
826,26.0,25.909
827,26.091,25.364
828,26.455,27.364
829,25.455,26.727
830,23.636,25.545
831,27.091,26.091
832,24.182,26.273
833,24.909,25.909
834,25.545,25.455
835,,27.0
836,24.182,25.818
837,25.091,25.455
838,25.909,25.364
839,25.455,
840,27.0,26.455
841,26.818,25.909
842,25.091,22.727
843,26.091,24.909
844,26.364,26.182
845,24.182,26.455
846,24.818,26.727
847,25.545,
848,26.727,23.455
849,,
