"id","home_team_api_id","away_team_api_id","Home_Team_Aggression","Home_Team_Potential","Home_Team_Stamina","Home_Team_OverallRating","Home_Team_FreeKick","Home_Team_Heading_accuracy","Home_Team_Short_passing","Home_Team_Solleys","Home_Team_Dribbling","Home_Team_Curve","Home_Team_Long_passing","Home_Team_Ball_control","Home_Team_Acceleration","Home_Team_Sprint_speed","Home_Team_Agility","Home_Team_Reactions","Home_Team_Balance","Home_Team_Shot_power","Home_Team_Vision","Home_Team_Marking","Away_Team_Aggression","Away_Team_Potential","Away_Team_Stamina","Away_Team_OverallRating","Away_Team_FreeKick","Away_Team_Heading_accuracy","Away_Team_Short_passing","Away_Team_Solleys","Away_Team_Dribbling","Away_Team_Curve","Away_Team_Long_passing","Away_Team_Ball_control","Away_Team_Acceleration","Away_Team_Sprint_speed","Away_Team_Agility","Away_Team_Reactions","Away_Team_Balance","Away_Team_Shot_power","Away_Team_Vision","Away_Team_Marking","labels"
20396,9925,8485,66,79,73,71,82,61,66,46,62,51,58,67,72,72,70,67,59,67,64,48,63,68,71,63,78,61,58,34,51,43,52,58,65,63,61,59,66,54,51,50,0
1541,274581,10000,62,70,63,67,62,58,59,46,53,47,55,58,62,63,64,64,63,55,51,47,58,70,67,68,74,59,63,47,53,47,57,61,58,61,57,65,58,59,56,44,1
16742,2183,8030,59,67,68,61,66,45,55,39,50,47,54,56,68,65,63,62,61,49,47,53,62,65,68,62,63,46,56,43,48,39,52,53,61,60,62,61,65,52,46,51,1
5636,9829,9874,67,77,69,72,76,64,65,43,52,49,58,64,72,68,66,68,72,65,60,50,60,78,72,71,75,59,65,44,58,51,56,63,69,69,68,66,62,57,59,48,0
7140,9747,9847,65,73,67,71,79,59,66,46,56,48,61,67,66,65,67,69,69,59,56,58,75,83,76,82,80,67,74,67,72,64,70,76,71,73,75,79,65,73,71,58,0
19989,9925,8467,57,79,73,75,83,58,68,41,68,54,63,69,71,73,68,71,69,62,68,50,51,65,62,62,69,50,62,31,59,49,53,63,62,67,62,57,60,50,58,51,0
618,8571,9985,63,69,67,65,70,55,58,48,54,54,55,60,64,67,64,64,57,60,56,50,63,75,70,68,72,58,61,49,60,55,59,61,70,72,67,68,65,68,60,47,0
16459,8020,1601,57,65,61,61,67,54,51,31,48,41,52,57,58,56,60,53,65,54,50,46,61,62,67,60,60,50,51,44,42,41,46,48,55,60,43,55,59,46,44,42,2
823,1773,10000,63,66,72,62,71,55,56,41,45,39,52,52,59,64,61,62,61,57,53,46,56,69,69,65,72,50,60,48,55,51,58,60,70,71,68,65,69,64,57,46,1
10335,8690,9882,68,74,71,69,79,60,62,39,57,41,63,62,68,66,52,67,56,59,54,60,69,80,76,76,85,62,70,52,65,56,69,71,76,75,68,76,71,67,69,56,2
17964,6403,9768,62,69,65,65,69,58,57,42,53,48,55,58,66,63,65,66,64,56,57,53,67,81,69,75,80,69,69,59,66,56,70,70,72,71,70,74,71,68,70,55,1
8870,8406,8177,63,72,69,69,73,57,63,45,56,47,57,61,62,65,61,67,62,61,57,55,66,75,65,73,77,67,64,51,54,49,54,64,62,62,59,72,58,65,58,46,0
14222,10219,8674,53,69,64,63,71,56,50,47,55,50,45,58,60,61,59,61,57,60,48,43,60,75,72,68,76,56,65,45,59,56,56,63,62,65,64,67,61,60,57,49,1
15703,8611,9803,59,75,64,69,79,53,67,49,60,54,60,63,66,66,65,66,64,62,57,47,60,69,66,66,76,52,61,42,55,50,56,60,58,62,59,62,63,58,55,51,0
1249,9985,9986,58,74,67,69,73,57,64,50,57,54,61,64,68,69,68,69,65,64,60,45,54,69,63,65,65,53,57,45,56,49,55,59,70,70,68,64,67,56,51,46,0
18937,10264,9807,64,76,63,71,76,60,60,46,60,52,57,65,67,66,69,70,64,65,57,48,61,71,65,66,77,55,57,46,57,52,52,60,66,68,63,67,63,59,52,48,0
9876,9790,8358,69,76,67,74,80,65,66,54,62,58,60,65,63,64,64,74,61,67,58,51,69,75,70,72,76,56,64,46,62,53,57,62,65,67,64,71,62,65,54,55,1
7380,4087,8592,60,70,63,68,80,58,60,47,55,47,52,59,62,63,61,69,63,55,54,49,69,79,70,76,78,64,70,52,66,57,66,70,73,72,72,74,68,69,64,52,2
11396,9976,8600,68,77,75,72,81,59,66,50,58,50,60,66,71,71,66,70,70,71,63,50,74,79,76,75,79,64,69,55,62,54,65,67,73,72,68,74,73,72,69,60,2
2276,8191,8455,68,77,73,73,86,58,64,48,58,47,64,64,72,71,63,65,67,61,63,50,75,87,76,83,86,70,73,65,67,63,70,75,74,76,67,78,77,74,75,57,2
14273,10217,9803,64,71,70,68,70,57,60,48,55,48,58,61,67,67,66,66,58,60,58,43,62,70,71,68,74,56,63,50,57,51,59,62,61,61,59,69,61,66,58,48,1
18822,10211,6403,60,69,68,65,68,54,56,37,52,41,51,57,61,61,58,65,62,51,49,53,63,70,68,67,74,54,62,46,56,50,56,61,63,59,66,67,67,58,58,50,2
13804,8674,8525,66,77,71,69,68,62,63,55,62,53,60,64,67,71,67,70,70,64,69,48,64,71,69,66,78,59,58,34,55,43,55,60,67,70,56,66,60,50,52,48,0
4632,8456,10260,62,82,71,81,85,60,70,60,69,61,67,72,74,74,72,79,71,70,66,52,66,83,74,79,83,65,72,55,69,61,65,72,73,70,72,79,68,65,68,53,2
18587,9773,10214,68,82,74,78,85,64,72,56,67,56,68,72,72,71,69,77,64,71,68,54,66,73,70,69,75,60,59,50,55,52,56,60,66,65,67,68,65,57,56,50,0
2732,10261,8602,63,78,72,73,73,65,66,55,63,49,61,68,67,71,62,69,62,62,66,57,64,77,70,72,78,56,63,48,56,50,57,63,69,68,63,67,63,61,61,51,0
22670,8661,9869,66,76,73,72,70,56,60,50,59,55,56,65,70,69,65,71,65,67,62,47,68,76,71,74,79,52,69,50,64,62,65,69,70,69,72,71,66,63,66,50,2
6556,9853,8576,67,79,71,75,75,66,69,51,61,58,65,69,69,71,62,73,57,65,65,56,65,71,60,68,75,56,64,37,53,49,61,63,63,63,65,64,65,56,59,49,0
8997,8178,8722,63,81,71,77,83,69,73,58,62,55,68,71,69,68,65,76,63,69,65,52,68,77,65,74,71,62,66,50,59,47,59,65,69,71,67,73,64,66,58,44,2
20337,10251,8485,56,68,65,61,80,54,55,36,50,45,47,56,61,63,63,56,62,54,53,47,51,71,65,63,73,52,55,30,53,48,50,55,63,64,61,58,57,47,53,40,2
3987,8586,8654,61,82,75,79,86,65,70,58,67,57,64,72,75,76,71,76,67,73,65,56,67,75,72,72,80,65,65,55,63,56,63,67,63,69,60,71,61,67,62,57,2
13913,9761,8526,65,74,70,69,74,54,62,55,58,52,55,62,69,68,67,69,66,60,63,46,61,69,66,65,77,53,60,45,59,45,56,60,71,70,67,63,66,58,54,45,0
12273,8537,7943,60,75,67,70,73,61,63,42,58,52,58,63,67,67,65,69,63,61,50,52,66,76,70,70,70,58,64,46,60,53,56,64,69,70,66,72,63,65,55,50,0
3456,10003,10261,56,77,69,74,82,52,68,45,64,53,64,69,73,69,72,71,72,57,62,52,67,80,77,76,84,66,70,58,66,57,64,70,73,74,71,75,64,66,65,61,0
6730,9827,8576,69,76,68,74,74,63,68,50,63,57,65,67,66,68,65,73,62,69,62,53,64,71,66,67,61,57,62,37,51,48,58,61,68,67,66,65,64,54,53,49,0
19536,9772,6367,66,80,68,77,79,62,67,56,68,63,64,70,66,69,67,76,59,68,68,48,65,73,68,69,75,54,59,40,56,47,51,61,68,69,65,65,64,56,52,51,0
14038,8674,9803,67,76,71,70,78,58,67,47,59,52,58,65,67,70,66,70,70,67,66,48,69,73,71,70,74,57,64,48,56,46,60,64,69,66,67,71,67,60,60,48,2
1324,9986,9985,58,68,62,65,69,56,60,47,58,53,57,60,62,65,66,63,66,58,56,46,66,73,67,69,73,60,63,48,55,48,62,62,67,68,67,68,64,64,53,51,2
11836,8533,8686,73,77,67,74,69,63,67,55,59,51,60,66,66,66,64,71,57,67,55,54,75,80,69,76,83,63,71,56,67,60,67,72,64,63,65,75,63,68,66,55,0
19582,10215,9772,64,71,63,68,69,55,57,45,56,52,51,59,62,63,66,67,64,61,51,46,72,81,71,77,77,65,68,57,68,61,65,71,67,72,64,76,59,70,67,52,2
20884,10251,8467,59,64,65,60,72,57,49,38,48,44,46,52,62,62,64,58,59,49,47,50,57,67,64,63,71,56,57,37,58,47,54,58,63,63,64,61,62,53,51,52,1
20780,9938,8467,56,70,66,62,66,54,54,34,57,50,51,60,69,70,69,58,66,53,52,47,61,65,65,64,71,57,54,35,54,50,50,58,59,59,63,62,61,49,53,47,2
20004,10251,8429,59,73,69,69,86,61,62,37,58,42,58,64,64,65,61,60,64,58,58,49,61,66,63,63,72,57,59,36,53,38,55,57,58,56,61,60,60,48,50,46,0
19239,10212,9768,65,72,69,68,74,58,61,44,58,46,52,61,66,68,65,63,61,60,54,49,66,80,73,75,80,60,69,59,66,59,62,69,70,71,69,74,68,71,62,52,2
15524,8525,8674,55,71,66,68,68,59,64,44,57,48,63,66,62,62,63,64,64,58,59,50,63,74,69,70,74,60,65,47,60,50,59,66,66,64,65,67,67,61,59,50,1
7865,10269,10189,76,84,71,77,88,69,70,52,61,55,63,69,73,76,62,73,66,68,63,59,69,85,78,79,89,70,72,58,66,58,66,70,74,76,62,79,67,75,63,57,0
3116,8586,10003,75,84,77,81,88,66,72,59,68,59,66,73,71,73,72,80,66,73,65,57,57,78,71,73,86,53,67,44,62,50,61,68,72,71,72,69,70,55,60,48,0
25049,10192,9956,65,72,70,67,66,59,60,47,54,50,54,60,65,66,61,66,61,57,54,47,59,71,63,62,65,51,61,37,56,39,52,60,64,66,56,60,56,62,45,44,1
15024,10217,9908,59,69,65,66,82,59,61,48,57,52,57,62,66,66,61,62,57,63,50,48,62,71,68,68,77,56,63,44,56,54,56,63,65,64,62,68,59,57,52,54,0
21270,8649,9927,50,63,63,61,72,50,56,40,56,46,50,57,65,67,67,59,61,57,53,42,57,65,60,62,65,55,55,33,50,42,48,55,57,57,62,60,56,54,50,46,2
21521,8388,8634,66,71,69,70,74,59,66,37,57,52,70,66,70,68,55,68,61,61,55,58,68,89,78,85,89,69,80,63,74,67,79,79,81,79,75,84,79,70,81,55,0
983,9985,9984,66,72,77,68,72,58,63,45,55,50,59,61,74,75,73,70,67,68,57,48,59,69,65,64,68,54,57,45,49,45,54,57,64,64,67,65,61,61,53,44,1
18765,9772,7842,70,82,71,79,87,66,70,64,69,62,67,72,70,71,71,78,64,74,65,55,58,74,71,70,80,57,63,47,60,56,56,63,66,68,66,67,64,63,54,44,1
20642,9925,8066,62,78,73,72,84,64,66,50,65,56,60,67,72,71,66,66,63,70,62,46,59,67,68,64,66,54,58,40,57,40,51,60,65,65,68,59,63,50,54,39,2
10362,8543,9885,68,82,75,76,80,63,66,54,61,58,65,71,73,71,69,73,74,67,69,55,74,84,77,79,96,68,71,48,61,51,70,71,76,75,61,77,67,69,66,59,1
8309,8358,9911,63,74,67,69,73,64,63,52,59,53,63,61,70,72,64,67,69,62,66,48,66,76,74,71,83,61,63,49,57,54,54,63,72,73,64,68,66,62,61,48,1
13452,8593,8526,65,78,73,73,70,61,69,59,64,61,66,69,72,75,71,71,68,63,70,56,57,71,64,64,63,55,60,37,56,35,54,60,68,66,51,64,52,55,46,49,0
7317,9830,8592,67,76,71,74,72,61,68,47,59,49,65,65,68,67,61,68,65,67,58,50,69,79,72,77,75,64,68,53,67,54,63,70,73,73,73,74,72,69,61,52,0
23645,8370,8581,65,76,68,72,85,51,64,47,63,58,64,69,69,71,69,68,68,61,61,46,70,74,69,73,76,57,63,49,62,57,61,66,70,71,68,74,67,71,60,51,2
9655,10189,8406,63,81,71,77,77,64,71,57,67,61,65,72,67,70,67,78,61,67,63,51,66,74,70,72,71,64,67,49,63,54,60,68,69,69,64,70,64,65,56,50,0
4922,8689,9829,67,76,67,69,77,61,63,51,54,50,54,63,68,67,68,62,69,58,71,51,58,77,67,70,79,63,64,38,49,40,63,64,66,65,56,68,53,53,50,49,1
20800,8066,9925,55,67,68,62,52,53,57,36,54,39,47,58,64,63,64,59,66,50,48,39,59,76,69,69,84,59,63,43,62,56,56,65,68,69,63,64,64,64,58,50,2
22217,9864,8633,64,76,70,72,89,56,64,50,59,58,63,64,72,72,69,67,67,61,64,52,66,87,75,83,88,67,76,57,71,67,76,76,76,78,72,79,73,75,75,57,1
21765,8479,8633,70,75,74,72,74,62,61,50,60,53,62,68,68,73,65,70,65,59,60,55,64,88,74,82,78,68,74,53,70,55,67,74,80,77,69,82,67,65,68,55,2
11728,9880,8535,71,75,70,73,80,58,65,54,54,57,62,65,68,67,66,71,65,65,64,52,63,79,66,77,74,58,69,56,65,63,65,70,70,72,67,74,58,69,64,51,1
7709,9853,8689,71,77,70,76,77,63,70,55,63,62,65,67,67,68,66,72,67,68,65,58,59,75,68,72,76,57,65,50,61,52,62,68,71,71,68,71,68,62,61,49,0
4440,8678,8668,62,74,71,71,70,54,66,47,62,53,60,65,69,69,65,67,64,58,63,53,64,82,73,77,78,62,70,49,67,51,62,70,71,74,68,75,62,65,64,54,1
465,9994,9997,60,70,66,67,69,53,61,26,58,27,57,66,69,67,38,67,32,64,34,47,64,66,66,63,74,54,60,40,51,44,59,59,63,66,59,63,57,62,58,51,2
22598,8315,8661,69,79,71,75,76,60,67,54,59,56,59,66,71,72,65,75,67,62,66,50,62,77,71,72,86,57,59,47,58,61,56,65,73,72,67,70,68,65,62,46,0
14042,8525,10228,60,69,63,63,77,54,56,40,52,48,50,57,65,66,61,60,63,53,54,43,62,75,69,68,71,55,61,47,57,48,54,64,68,70,66,68,65,62,62,49,0
15842,8028,2182,46,61,55,53,66,39,45,35,38,37,43,45,58,58,51,53,55,40,40,34,58,71,65,63,75,44,59,50,57,52,56,54,67,70,60,60,61,56,57,41,2
24483,8634,8558,68,87,75,86,90,61,78,64,74,70,73,80,73,74,74,84,71,69,76,53,71,78,70,74,76,58,71,44,62,58,60,70,66,67,64,73,67,60,61,53,0
8331,9823,9904,67,84,75,80,85,64,72,60,68,59,70,71,71,73,68,78,76,68,74,47,69,77,71,72,68,64,67,49,59,52,66,65,68,71,66,69,72,57,64,60,0
14101,9908,10235,64,75,70,70,75,52,63,45,58,53,58,64,71,71,67,70,63,59,62,48,61,78,69,67,70,53,61,47,60,53,56,64,74,73,70,67,67,63,58,47,2
22064,8305,8394,68,80,72,76,80,65,68,55,63,58,67,67,75,73,66,73,72,64,68,56,67,80,73,73,70,61,66,48,62,49,65,67,73,72,62,70,62,64,63,52,2
11499,8529,8535,72,80,72,74,74,59,68,56,60,56,64,67,72,73,71,73,64,66,63,53,65,80,67,75,76,60,67,55,60,58,64,68,69,70,64,73,59,67,60,57,1
6787,9874,9748,60,74,66,69,79,58,63,47,57,51,56,64,69,68,67,67,64,54,50,49,65,80,69,74,82,63,73,56,66,61,67,70,68,70,68,71,67,69,67,52,2
22234,8394,8305,68,80,73,73,75,67,65,39,56,43,64,66,68,69,55,68,56,65,53,62,65,81,71,75,80,64,69,49,62,54,67,68,74,73,62,73,65,64,60,59,0
18723,10211,10214,59,71,65,66,68,54,59,48,60,56,54,61,63,65,64,64,66,62,51,45,65,72,69,67,85,56,57,43,56,46,53,58,67,68,63,68,67,61,54,46,1
8212,9905,9904,63,77,69,71,80,60,67,54,58,54,67,64,64,66,58,68,72,65,66,48,60,77,68,72,77,59,65,51,61,56,61,67,68,70,67,69,69,59,68,48,0
13119,9885,8533,70,84,74,81,85,60,72,63,70,69,67,74,76,77,75,78,70,68,69,58,68,75,67,73,79,64,64,52,59,59,57,66,65,69,65,70,63,65,51,48,1
15280,9908,10229,59,72,66,67,60,54,61,42,60,49,57,61,68,69,63,64,63,59,52,49,59,74,73,70,77,61,63,50,62,54,61,66,66,66,65,70,59,66,58,53,0
7950,8398,8177,61,73,66,68,77,60,60,35,54,30,58,59,62,65,45,65,49,60,45,49,69,80,70,74,78,66,67,50,61,52,61,66,74,76,65,68,70,66,65,50,2
24757,10192,9930,62,73,62,64,73,56,57,41,56,42,54,61,67,66,60,63,60,56,53,52,57,66,61,59,53,50,56,23,49,26,52,55,60,63,38,58,34,50,31,49,0
10856,8686,8600,71,82,75,77,83,72,72,59,63,56,66,71,73,73,65,74,72,70,67,56,72,81,80,77,79,64,71,59,68,59,72,71,80,78,71,78,73,74,71,59,0
20648,8485,8066,56,66,67,64,66,57,55,39,52,41,51,57,60,62,61,59,64,47,50,43,59,67,68,64,66,54,58,40,57,40,51,60,65,65,68,59,63,50,54,39,2
22794,8581,8305,64,74,60,73,86,55,66,50,62,60,61,67,63,66,62,72,63,68,64,50,65,75,66,74,77,58,65,48,59,57,61,67,68,68,64,72,64,69,63,48,2
19689,10264,9807,64,77,68,73,79,62,64,49,61,52,57,66,67,69,66,72,62,64,56,51,61,74,66,70,75,58,62,45,60,54,57,62,66,66,67,68,65,60,57,47,0
9823,9810,9904,62,77,69,74,74,65,67,54,62,55,63,66,62,67,63,73,60,66,58,47,62,76,66,74,85,63,69,50,63,57,62,66,69,69,67,75,61,70,56,54,1
4296,10003,10194,66,78,71,75,84,60,69,47,65,56,65,69,70,69,67,71,65,61,62,53,74,75,73,74,75,68,68,52,61,54,61,66,63,65,67,71,61,65,58,59,0
21669,8315,8479,66,76,74,71,75,51,63,52,58,60,63,64,70,71,65,71,67,61,67,57,64,77,74,72,74,63,61,45,60,53,61,68,69,74,62,70,65,57,62,60,1
6067,9941,9853,67,79,72,74,78,57,70,40,62,52,66,68,66,67,65,71,62,63,64,62,66,77,67,73,75,62,68,47,57,55,66,64,65,66,64,68,63,61,61,52,2
13137,8524,8564,68,76,66,75,82,59,66,55,59,57,61,64,64,64,64,71,63,68,53,53,66,80,72,77,78,63,68,50,67,60,62,70,72,74,70,72,65,67,59,54,0
6319,7794,9873,61,71,62,68,72,57,64,44,53,50,58,61,59,60,61,63,63,56,57,45,64,75,70,72,74,60,67,40,59,49,62,65,62,65,64,67,64,61,57,48,2
493,9986,9984,59,69,64,62,61,54,56,40,55,40,55,55,61,63,56,62,60,55,52,47,55,69,70,65,68,58,62,48,53,49,59,58,61,67,60,62,61,64,63,50,2
5395,9831,9874,61,76,70,71,82,63,67,43,48,44,58,63,66,65,57,65,58,63,57,53,57,74,68,66,77,54,60,44,51,52,52,60,66,63,65,65,58,54,54,47,1
23500,8305,8634,61,76,65,74,79,62,68,51,61,61,63,67,65,67,64,72,61,65,61,47,66,86,77,82,81,60,78,59,72,66,74,78,72,71,73,82,74,65,74,58,2
11457,8524,8530,66,77,69,73,76,57,67,53,59,54,62,65,70,70,69,70,68,68,60,54,70,75,59,73,86,63,63,53,58,54,62,64,61,59,59,72,57,66,60,56,1
22256,10267,8634,71,83,75,77,77,62,71,55,65,63,68,72,73,73,67,75,74,65,73,56,69,87,80,84,87,66,79,60,70,64,79,77,77,77,74,83,79,67,80,62,1
1245,9989,8475,55,68,62,63,76,52,60,44,56,44,54,59,60,60,61,60,64,52,54,47,58,67,65,64,69,59,57,43,53,44,51,58,62,62,62,63,62,63,52,47,0
7880,8295,8697,55,76,68,69,86,59,61,48,58,51,58,64,69,71,65,69,65,56,61,51,72,85,74,79,92,70,71,54,62,52,61,69,72,73,59,78,67,68,64,55,0
