id,home_team_api_id,away_team_api_id,buildUpPlaySpeed_home,buildUpPlayPassing_home,chanceCreationPassing_home,chanceCreationCrossing_home,chanceCreationShooting_home,defencePressure_home,defenceAggression_home,defenceTeamWidth_home,buildUpPlaySpeed_away,buildUpPlayPassing_away,chanceCreationPassing_away,chanceCreationCrossing_away,chanceCreationShooting_away,defencePressure_away,defenceAggression_away,defenceTeamWidth_away,AVG_HOME_AGE,AVG_AWAY_AGE,Home_Team_Aggression,Home_Team_Potential,Home_Team_Stamina,Home_Team_OverallRating,Home_Team_FreeKick,Away_Team_Aggression,Away_Team_Potential,Away_Team_Stamina,Away_Team_OverallRating,Away_Team_FreeKick,labels
3483,8466,8650,47,52,54,56,60,48,52,44,60,60,48,73,53,50,48,62,24.545,26.636,63,79,76,74,74,66,81,75,79,84,0
6258,9873,9836,65,50,50,65,50,45,45,65,65,50,50,65,50,35,45,50,26.455,23.273,61,73,69,69,74,59,71,70,66,69,0
24194,9783,9906,53,47,38,52,55,45,50,59,57,50,61,62,49,49,42,52,29,26.818,68,76,67,75,78,72,84,75,81,78,1
4439,10252,9817,63,54,60,48,38,35,44,54,61,52,54,42,45,38,52,45,26.818,27.636,68,77,73,75,75,67,74,69,73,75,2
6717,9941,8576,49,53,52,34,36,36,45,49,59,52,48,34,52,38,47,53,23.636,26.727,65,77,71,72,72,62,71,68,67,61,1
6718,9873,10249,49,50,51,76,61,43,57,51,52,47,48,49,52,34,43,37,27.909,24.727,58,72,63,69,72,65,76,65,71,78,1
17203,8673,1601,54,36,52,51,64,47,46,66,53,38,66,65,50,43,44,49,25.8,27.6,58,68,65,64,76,54,66,59,62,76,0
20804,8485,9800,58,62,45,70,55,40,40,60,60,75,62,45,60,50,48,40,27.9,27.636,58,65,67,64,71,57,66,64,63,78,1
20679,9938,8467,60,60,50,50,35,40,38,52,57,57,46,48,38,42,38,52,25.727,27.455,63,70,71,64,74,57,65,66,63,70,1
8951,9788,8722,63,46,60,51,61,49,58,49,58,71,42,39,50,40,40,56,26.182,26.909,64,77,68,75,83,69,76,67,74,71,0
9765,9788,8722,31,32,38,26,49,43,50,41,59,57,53,47,59,57,46,54,25.455,24.909,67,80,72,77,73,64,76,69,72,74,0
6276,9851,9853,65,35,65,65,65,55,45,65,65,35,35,65,65,35,45,65,23.727,23.818,63,78,69,72,71,64,78,67,71,70,1
4645,9850,10261,45,55,46,54,47,38,39,51,58,49,47,54,46,41,39,51,27.455,26,66,74,73,73,77,67,79,76,76,74,0
11942,8524,8686,40,50,53,47,50,55,42,50,60,40,65,35,50,35,45,50,27.091,25.455,73,77,69,74,79,73,80,69,77,83,2
4104,8197,8586,63,48,47,62,69,58,62,54,41,38,41,59,62,58,51,56,27.545,24,59,71,68,69,67,65,81,74,77,86,2
25296,7730,10191,37,49,52,60,48,43,43,55,58,35,67,32,66,47,45,53,26.182,27,53,67,60,61,70,58,65,64,60,66,0
24950,10199,9956,45,60,45,70,60,40,45,50,30,50,55,70,55,40,60,60,27.091,24.6,59,70,63,62,82,57,69,61,59,65,0
21212,8485,8066,58,62,56,68,57,41,42,60,61,59,50,57,55,43,41,46,27.636,26.273,60,66,69,65,84,54,67,67,64,70,0
4177,8586,9825,41,38,41,59,62,58,51,56,59,26,28,55,64,51,44,52,23.545,26.091,66,82,76,77,86,63,81,70,78,79,0
24084,8558,8370,50,44,52,60,40,37,40,45,45,44,44,44,47,63,51,59,26.182,28.9,68,77,69,74,68,66,76,68,74,85,1
6075,8481,9941,35,35,35,65,35,35,55,50,65,50,50,50,65,35,55,50,25.455,23.455,61,73,68,69,74,66,77,71,71,78,2
12053,8529,10167,40,50,65,50,50,45,45,50,45,35,50,65,50,45,45,50,26.091,27.818,71,78,62,74,84,66,78,66,75,72,2
10236,9810,8177,51,38,47,58,40,48,42,55,47,55,59,68,45,50,45,57,26.636,25.636,66,77,69,74,78,58,77,71,73,79,1
1239,9989,9991,69,58,56,52,61,38,49,65,50,37,28,66,34,50,53,40,22.455,25,49,68,57,62,69,60,71,66,67,74,0
3562,10261,9825,54,54,54,68,48,52,48,42,25,32,41,34,30,57,57,52,28,26.818,69,80,73,78,84,63,82,70,80,87,2
3786,10003,9879,41,39,36,42,44,52,58,57,52,49,49,56,59,39,39,57,27.364,28.909,63,77,69,75,82,64,77,69,75,77,0
20499,9860,9938,66,53,53,68,66,56,68,66,68,53,67,53,67,57,57,63,26.273,25.455,58,68,68,65,74,59,70,70,65,68,2
5606,9853,9827,65,65,55,60,60,30,30,30,70,35,70,50,70,55,70,70,26.364,26.273,68,80,70,74,82,68,81,71,77,80,1
1234,9989,10000,69,58,56,52,61,45,49,65,54,51,47,52,50,44,55,53,24.091,24.818,57,67,59,64,69,58,71,68,66,72,2
6406,8592,9874,48,50,49,51,48,44,48,51,63,39,63,72,49,54,43,49,26,24.818,70,80,72,77,76,61,74,63,69,76,0
